URL,SIZE,No of Outlinks,Content-Type
http://www.nydailynews.com/life-style/stand-glare-engagement-rings-star-best-friend-gallery-1.45822,68562,20,text/html
http://www.nydailynews.com/sports/football,126146,174,text/html
http://www.nydailynews.com/entertainment/cast-cheers-gallery-1.3179348,68412,20,text/html
http://www.nydailynews.com/newswires/sports/lazio-fans-direct-racist-chants-2-sassuolo-players-article-1.3534346,87045,105,text/html
http://www.nydailynews.com/horoscopes/scorpio,108400,131,text/html
http://www.nydailynews.com/opinion/donald-trump-tax-plan-helps-donald-trump-article-1.3527927,91329,112,text/html
http://www.nydailynews.com/life-style/health/cancer-patient-discovers-tumor-not-tumor-article-1.3525621,89055,109,text/html
http://www.nydailynews.com/sports/id-click-that,120341,157,text/html
http://www.nydailynews.com/news,153730,256,text/html
https://www.nydailynews.com/nydn/img/static/close-button.png,656,0,image/png
http://www.nydailynews.com/services/privacy-policy,116284,106,text/html
http://www.nydailynews.com/sports/odds,97240,103,text/html
http://www.nydailynews.com/newswires/news/business/latest-catalan-official-spain-shame-europe-article-1.3533602,112878,106,text/html
http://www.nydailynews.com/new-york/hospitals-face-financial-blow-weaken-nyc-health-care-article-1.3530742,97321,111,text/html
http://www.nydailynews.com/entertainment/best-celebrity-twitter-photos-2011-gallery-1.999021,68253,21,text/html
http://www.nydailynews.com/horoscopes,121475,142,text/html
http://www.nydailynews.com/life-style/animal-rights-activists-protest-animal-cruelty-yom-kippur-ceremony-brooklyn-gallery-1.3530455,69111,20,text/html
http://www.nydailynews.com/news/national/coffee-sold-california-carry-cancer-warning-labels-article-1.3520283,92858,107,text/html
http://www.nydailynews.com/news/rise-fall-o-simpson-gallery-1.11155,68542,19,text/html
http://www.nydailynews.com/life-style/man-left-paralyzed-car-crash-wheelchair-bodybuilder-gallery-1.3530550,68721,20,text/html
http://www.nydailynews.com/sports,167741,303,text/html
http://www.nydailynews.com/tags/saturday-night-live,111068,179,text/html
http://www.nydailynews.com/tags/taxes-and-spending,107463,157,text/html
http://www.nydailynews.com/news/deadly-stampede-mumbai-train-station-gallery-1.3530107,67201,20,text/html
http://www.nydailynews.com/entertainment/tv/michael-che-trashes-trump-poignant-rant-weekend-update-article-1.3534205,90104,108,text/html
http://www.nydailynews.com/life-style/health/smell-test-determine-dementia-risk-article-1.3530886,85548,104,text/html
http://www.nydailynews.com/sports/baseball/mets/mets-didn-ugly-collins-door-article-1.3532548,99522,119,text/html
http://www.nydailynews.com/sports/football/trio-miami-dolphins-players-kneel-national-anthem-article-1.3534326,88832,109,text/html
http://www.nydailynews.com/newswires/new-york/feds-charge-college-professor-running-fake-trade-school-article-1.3532169,85451,104,text/html
http://www.nydailynews.com/life-style/cosplayers-create-costumes-2017-new-york-comic-gallery-1.3532970,68837,21,text/html
http://www.nydailynews.com/new-york/bronx,121820,171,text/html
http://www.nydailynews.com/news/world/cholera-outbreak-yemen-infect-unprecedented-1-million-article-1.3530801,89754,111,text/html
http://www.nydailynews.com/new-york/caribbeat-jah-jerry-group-scholarships-article-1.3533410,99234,118,text/html
http://www.nydailynews.com/news/national/cocaine-cowboys-gave-drug-money-cia-tied-plot-kill-castro-article-1.3532426,93836,114,text/html
http://www.nydailynews.com/news/politics/trump-tillerson-wasting-time-north-korea-talks-article-1.3534262,88364,111,text/html
http://www.nydailynews.com/life-style/surgery-connected-highest-risk-opioid-addiction-article-1.3528462,89953,108,text/html
http://www.nydailynews.com/new-york/fdny-medic-killed-motorcycle-fall-kosciuszko-bridge-article-1.3533350,86612,106,text/html
http://www.nydailynews.com/newswires/entertainment/media-titan-samuel-si-newhouse-dead-89-article-1.3534238,93989,106,text/html
http://www.nydailynews.com/opinion,135542,228,text/html
http://www.nydailynews.com/news/donald-trump-road-white-house-election-day-gallery-1.2945034,68831,20,text/html
http://www.nydailynews.com/life-style/health/new-hiv-patients-europe-seniors-article-1.3527868,89944,114,text/html
http://www.nydailynews.com/news/escape-boat-carrying-rohingya-muslims-myanmar-capsizes-bangladesh-killing-14-gallery-1.3528170,69058,20,text/html
http://www.nydailynews.com/new-york,170487,293,text/html
http://www.nydailynews.com/news/national/tillerson-talking-north-korea-mounting-tension-article-1.3532203,89267,110,text/html
http://www.nydailynews.com/new-york-daily-news-front-pages-gallery-1.2943303,66319,20,text/html
http://www.nydailynews.com/life-style/ife-3-ways-overcome-feeling-powerless-article-1.3504692,88649,105,text/html
http://www.nydailynews.com/life-style/drink-water-amount-article-1.3504556,89610,103,text/html
http://www.nydailynews.com/life-style/dreams-lauren-lawrence-analyzes-daily-news-readers-dreams-article-1.3515719,86904,103,text/html
http://www.nydailynews.com/life-style/health/deadly-7up-laced-meth-detected-mexico-article-1.3523097,87872,109,text/html
http://www.nydailynews.com/new-york/brooklyn/brooklyn-mechanic-shot-dead-man-clash-car-repairs-article-1.3533364,86382,104,text/html
http://www.nydailynews.com/authors?author=Nicole-Hensley,106797,159,text/html
http://www.nydailynews.com/new-york/manhattan/marilyn-manson-struck-prop-guns-rushed-hospital-article-1.3533323,91873,110,text/html
http://www.nydailynews.com/life-style/health/eating-bread-meal-problem-article-1.3530249,88409,105,text/html
http://www.nydailynews.com/entertainment/tv/david-s-pumpkins-animated-special-article-1.3528491,86677,107,text/html
http://www.nydailynews.com/sports/basketball/knicks,121126,157,text/html
http://www.nydailynews.com/news/national,123116,165,text/html
http://www.nydailynews.com/entertainment/music/justin-bieber-issues-worse-people-realized-manager-article-1.3532324,89553,108,text/html
http://www.nydailynews.com/life-style/babies-born-birth-defects-congenital-syphilis-article-1.3530526,89577,108,text/html
http://www.nydailynews.com/news/world/deadly-knife-attack-france-train-station-assailant-shot-article-1.3534187,90515,110,text/html
http://www.nydailynews.com/entertainment/saturday-night-live-40th-anniversary-gallery-1.2109995,68360,21,text/html
http://www.nydailynews.com/newswires/news/national/dc-appeals-court-won-revisit-ruling-blocking-gun-law-article-1.3529013,85828,104,text/html
http://www.nydailynews.com/life-style/health/health-risks-revealed-coffee-roastery-workers-article-1.3524999,86488,107,text/html
http://www.nydailynews.com/news/earthquake-strikes-mexico-city-gallery-1.3506786,67338,20,text/html
http://www.nydailynews.com/news/national/captain-errors-led-el-faro-sinking-coast-guard-report-article-1.3534365,86823,103,text/html
http://www.nydailynews.com/life-style/health/science-targets-new-link-belly-fat-article-1.3525592,86507,107,text/html
http://www.nydailynews.com/services/contact-us,98411,100,text/html
http://www.nydailynews.com/news/protestors-march-support-equal-abortion-rights-international-safe-abortion-day-gallery-1.3528461,69293,20,text/html
http://www.nydailynews.com/life-style/berlin-festival-lights-turns-city-glowing-art-installation-gallery-1.3532337,68557,20,text/html
http://www.nydailynews.com/new-york/nyc-crime/pair-snatched-man-rolex-credit-cards-midtown-hotel-article-1.3531606,85697,103,text/html
http://www.nydailynews.com/news/politics/puerto-ricans-aren-lazy-writes-father-lin-manuel-miranda-article-1.3533163,93019,108,text/html
http://www.nydailynews.com/amp/newswires/news/national/latest-john-kelly-authority-cabinet-travel-article-1.3530312,42098,18,text/html
http://www.nydailynews.com/newswires/news/national/latest-americans-advised-stay-cuba-article-1.3530367,95380,105,text/html
http://www.nydailynews.com/news/officials-fired-quit-trump-administration-gallery-1.3354698,68187,20,text/html
http://www.nydailynews.com/newswires/news/world/french-interior-minister-witnesses-reported-hearing-assailant-marseille-knife-attack-shout-allahu-akbar-article-1.3534454,85803,104,text/html
http://www.nydailynews.com/sports/baseball/yankees/jessica-steinbrenner-files-restraining-order-ex-husband-article-1.3533248,89191,108,text/html
http://www.nydailynews.com/horoscopes/daily,109309,125,text/html
http://www.nydailynews.com/horoscopes/monthly,117688,137,text/html
http://www.nydailynews.com/new-york/nyc-crime/queens-man-left-coma-punch-chasing-phone-thief-article-1.3533736,89070,107,text/html
http://www.nydailynews.com/amp/entertainment/meet-meghan-markle-prince-harry-rumored-girlfriend-gallery-1.2856929,49869,18,text/html
http://www.nydailynews.com/newswires/news/national/latest-trump-official-praises-puerto-ricans-resilience-article-1.3530068,91994,106,text/html
http://www.nydailynews.com/new-york/subways-pageant-struts-back-nyc-spotlight-gallery-1.3529860,67488,21,text/html
http://www.nydailynews.com/entertainment/meet-meghan-markle-prince-harry-rumored-girlfriend-gallery-1.2856929?pmSlide=1.3534361,68275,21,text/html
http://www.nydailynews.com/newswires/news/national/tennessee-church-suspect-sought-charleston-revenge-article-1.3530465,88889,104,text/html
http://www.nydailynews.com/entertainment/meet-meghan-markle-prince-harry-rumored-girlfriend-gallery-1.2856929?pmSlide=1.3534360,68529,21,text/html
http://www.nydailynews.com/new-york/fatal-stabbing-bronx-school-gallery-1.3525382,67508,21,text/html
http://www.nydailynews.com/newswires/news/national/trump-praises-puerto-rico-aid-mayor-killing-article-1.3529879,93393,106,text/html
http://www.nydailynews.com/entertainment/back-lackluster-late-night-hosts-short-lived-shows-gallery-1.3530209,69032,21,text/html
http://www.nydailynews.com/tags/colin-kaepernick,107759,157,text/html
http://www.nydailynews.com/tags/daily-views,106984,157,text/html
http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-volvo-xc60-list-article-1.3514215,104395,123,text/html
http://www.nydailynews.com/entertainment/gossip/stars-makeup-real-face-fame-gallery-1.21019,67332,21,text/html
http://www.nydailynews.com/new-york/nycproblems-new-yorkers-reveal-daily-struggles-hilarious-photos-gallery-1.2408680,68305,21,text/html
http://www.nydailynews.com/newswires/news/national/zinke-dismisses-charter-bs-travel-article-1.3530784,90651,106,text/html
http://www.nydailynews.com/life-style/cutest-kids-hollywood-gallery-1.53200,66906,20,text/html
http://www.nydailynews.com/new-york/new-york-focus-gallery-1.3516371,66528,21,text/html
http://www.nydailynews.com/sports/baseball/yankees/judge-sets-yankees-franchise-record-33rd-hr-stadium-article-1.3532529,89165,105,text/html
http://www.nydailynews.com/news/world/trump-journey-countries-asia-november-article-1.3529925,88252,108,text/html
http://www.nydailynews.com/authors?author=Lauren-Lawrence,106088,157,text/html
http://www.nydailynews.com/amp/life-style/dreams-lauren-lawrence-analyzes-daily-news-readers-dreams-article-1.3532258,27143,19,text/html
http://www.nydailynews.com/new-york/new-york-focus-gallery-1.3500719,66610,21,text/html
http://www.nydailynews.com/newswires/news/national/senators-urge-trump-robustly-enforce-russia-sanctions-law-article-1.3530839,85494,104,text/html
http://www.nydailynews.com/news/hurricane-maria-strikes-puerto-rico-pummeling-caribbean-gallery-1.3508527,68327,20,text/html
http://www.nydailynews.com/new-york/nyc-crime/teen-fatally-shot-chest-back-blocks-harlem-home-article-1.3533669,86319,105,text/html
http://www.nydailynews.com/horoscopes/weekly,116374,137,text/html
http://www.nydailynews.com/authors?author=Howard-Gillman,93605,100,text/html
http://www.nydailynews.com/sports/baseball/yankees,120143,157,text/html
http://www.nydailynews.com/newswires/news/national/latest-trump-praises-puerto-rico-relief-efforts-article-1.3527957,93940,106,text/html
http://www.nydailynews.com/news/national/publishing-titan-s-newhouse-dead-89-article-1.3534221,87446,103,text/html
http://www.nydailynews.com/newswires/news/national/puerto-rico-mayor-begs-aid-trump-praises-response-article-1.3531599,93603,106,text/html
http://www.nydailynews.com/news/world/engine-destroyed-air-france-flight-paris-la-article-1.3532414,88904,111,text/html
http://www.nydailynews.com/new-york/new-york-city-captured-photographer-vivian-maier-gallery-1.3528729,68365,21,text/html
http://www.nydailynews.com/entertainment/music,117079,160,text/html
http://www.nydailynews.com/new-york/brooklyn/brooklyn-duo-suv-attempts-kidnap-15-year-old-girl-article-1.3531478,87795,102,text/html
http://www.nydailynews.com/new-york/nyc-crime/thief-swipes-35g-engagement-ring-woman-finger-chelsea-article-1.3533196,86584,106,text/html
http://www.nydailynews.com/newswires/news/national/trump-sets-refugee-cap-2018-45-000-article-1.3531221,84712,104,text/html
http://www.nydailynews.com/news/memoriam-remembering-famous-figures-lost-gallery-1.2947761,67156,20,text/html
http://www.nydailynews.com/new-york/new-york-focus-gallery-1.3533035,66534,21,text/html
http://www.nydailynews.com/life-style/carve-jack-o-lantern-halloween-wars-star-article-1.3527692,91330,104,text/html
http://www.nydailynews.com/new-york/nyc-crime/cops-hunt-creep-stabbed-man-greenwich-village-bus-stop-article-1.3533623,85912,104,text/html
http://www.nydailynews.com/horoscopes/pisces,108380,131,text/html
http://www.nydailynews.com/horoscopes/aquarius,108428,131,text/html
http://www.nydailynews.com/newswires/sports/barcelona-game-played-fans-catalonia-vote-article-1.3534134,92739,106,text/html
http://www.nydailynews.com/new-york/bronx/mom-recalls-horror-dying-son-bx-school-stabbing-article-1.3530426,94575,113,text/html
http://www.nydailynews.com/new-york/nyc-crime/man-51-found-fatally-stabbed-torso-staten-island-street-article-1.3532099,87889,107,text/html
http://www.nydailynews.com/newswires/news/national/high-court-trump-reverses-legal-article-1.3529378,90121,104,text/html
http://www.nydailynews.com/tags/jay-z,107327,157,text/html
http://www.nydailynews.com/amp/newswires/new-york/ny-old-kosciuszko-bridge-brought-demolition-article-1.3534173,25159,18,text/html
http://www.nydailynews.com/amp/newswires/news/world/lone-wolf-suspected-canada-terror-attack-police-chase-article-1.3533873,33211,18,text/html
http://www.nydailynews.com/new-york/nyc-crime/hit-and-run-driver-kills-cyclist-doesn-stop-brooklyn-article-1.3532262,89231,109,text/html
http://www.nydailynews.com/tags/dreams,107130,156,text/html
http://www.nydailynews.com/newswires/news/national/ap-sources-orders-60-percent-staff-leave-embassy-havana-due-specific-attacks-diplomats-cuba-article-1.3530010,85615,104,text/html
http://www.nydailynews.com/news/president-obama-retirement-gallery-1.2966216,68481,20,text/html
http://www.nydailynews.com/new-york/nyc-crime/man-nabbed-fatally-shooting-foe-bronx-restaurant-article-1.3532207,87926,107,text/html
http://www.nydailynews.com/authors?author=Erwin-Chemerinsky,94467,104,text/html
