URL,SIZE,No of Outlinks,Content-Type
http://www.nydailynews.com/,194653,385,text/html
http://www.nydailynews.com/opinion/learn-horror-bronx-high-school-safe-article-1.3528685,85839,102,text/html
http://www.nydailynews.com/horoscopes/cancer,108180,131,text/html
http://www.nydailynews.com/news/politics/president-trump-slams-tom-price-costly-travel-distraction-article-1.3530478,89600,104,text/html
http://www.nydailynews.com/sports/basketball/hawks-pg-dennis-schroder-arrested-battery-charge-atlanta-article-1.3530427,89056,104,text/html
http://www.nydailynews.com/news/politics/tom-price-reimbursing-gov-flying-charter-planes-article-1.3528437,89161,104,text/html
http://www.nydailynews.com/newswires/entertainment/mona-lisa-unveiled-nude-sketch-link-masterpiece-article-1.3529794,90180,105,text/html
http://www.nydailynews.com/sports/football/jets/jets-closer-rid-underachieving-mo-wilkerson-article-1.3528618,93670,103,text/html
http://www.nydailynews.com/horoscopes/cancer?type=monthly,110266,131,text/html
http://www.nydailynews.com/entertainment/gossip/hugh-hefner-final-interview-death-article-1.3530052,89600,111,text/html
http://www.nydailynews.com/news/national/trump-not-happy-tom-price-private-jets-article-1.3525351,89331,110,text/html
http://www.nydailynews.com/life-style/reasons-stock-market-surprisingly-strong-article-1.3518634,89095,111,text/html
http://www.nydailynews.com/authors?author=Editorials,104716,157,text/html
http://www.nydailynews.com/news/world,126443,168,text/html
http://www.nydailynews.com/autos,120721,330,text/html
http://www.nydailynews.com/news/donald-trump-road-white-house-election-day-gallery-1.2945034,69040,20,text/html
http://www.nydailynews.com/entertainment/stars-love-coffee-gallery-1.1905216,68507,21,text/html
http://www.nydailynews.com/horoscopes/cancer?type=weekly,110113,131,text/html
http://www.nydailynews.com/amp/news/politics/president-trump-slams-tom-price-costly-travel-distraction-article-1.3530478,31427,21,text/html
http://www.nydailynews.com/news/national/student-loan-program-set-expire-extension-blocked-article-1.3530430,87342,104,text/html
http://www.nydailynews.com/horoscopes/yearly,125728,137,text/html
http://www.nydailynews.com/photos/dn-photographers/photographer?author=Marcus-Santos,35767,77,text/html
http://www.nydailynews.com/entertainment/gossip/no-sex-city-movie-article-1.3530030,88397,106,text/html
