URL,SIZE,No of Outlinks,Content-Type
http://www.nydailynews.com/,194921,382,text/html
http://www.nydailynews.com/newswires/new-york/bill-de-blasio-pledges-750-000-eradicate-rats-parks-article-1.3529348,85103,104,text/html
http://www.nydailynews.com/life-style/model-eye-tattooed-horribly-wrong-article-1.3528581,90514,111,text/html
http://www.nydailynews.com/horoscopes/virgo,107985,131,text/html
http://www.nydailynews.com/sports/football/giants,121159,157,text/html
http://www.nydailynews.com/tags/associated-press,107455,148,text/html
http://www.nydailynews.com/newswires/sports/switzerland-recalls-embolo-decisive-world-cup-qualifiers-article-1.3530333,86235,104,text/html
http://www.nydailynews.com/newswires/news/business/trump-met-kevin-warsh-part-fed-chair-search-article-1.3530121,88362,104,text/html
http://www.nydailynews.com/autos,120977,331,text/html
http://www.nydailynews.com/horoscopes/daily?c=virgo&d=20170929&type=daily,109565,126,text/html
http://www.nydailynews.com/tags/entertainment-newswires,107910,153,text/html
http://www.nydailynews.com/opinion/trump-tax-attack-gop-plunders-middle-class-article-1.3526037,85224,100,text/html
http://www.nydailynews.com/entertainment/music/drake-tattoo-denzel-washington-1990-movie-article-1.3506085,92592,112,text/html
http://www.nydailynews.com/sports/football/jets/henderson-files-wrongful-termination-suit-jets-seeks-3-3m-article-1.3530193,87033,105,text/html
https://www.nydailynews.com/cmlink/notifications,22376,6,text/html
http://www.nydailynews.com/authors?author=The-Associated-Press,106191,148,text/html
http://www.nydailynews.com/sports/football/giants/vermeil-calls-giants-star-odell-beckham-immature-clown-article-1.3530059,88598,106,text/html
http://www.nydailynews.com/news/national/mom-left-children-tattoo-article-1.3487014,85060,105,text/html
http://www.nydailynews.com/entertainment/gossip/no-sex-city-movie-article-1.3530030,88437,106,text/html
http://www.nydailynews.com/opinion/donald-trump-tax-plan-helps-donald-trump-article-1.3527927,91356,112,text/html
http://www.nydailynews.com/horoscopes/virgo?type=monthly,110227,131,text/html
http://www.nydailynews.com/new-york/new-york-city-captured-photographer-vivian-maier-gallery-1.3528729,68335,20,text/html
http://www.nydailynews.com/news/national/pulling-embassy-staff-cuba-alleged-attacks-article-1.3530023,89904,107,text/html
http://www.nydailynews.com/tags/newswires,107316,148,text/html
http://www.nydailynews.com/tags/featured-lifestyle,107161,157,text/html
http://www.nydailynews.com/newswires/news/business/epa-tests-show-contaminants-exposed-texas-superfund-site-article-1.3529322,90867,104,text/html
http://www.nydailynews.com/horoscopes/yearly,125764,137,text/html
http://www.nydailynews.com/new-york/nyc-crime/priest-charged-abusing-15-girls-thought-god-article-1.3528585,97174,120,text/html
http://www.nydailynews.com/amp/newswires/new-york/bill-de-blasio-pledges-750-000-eradicate-rats-parks-article-1.3529348,24762,18,text/html
http://www.nydailynews.com/new-york/brooklyn-man-face-tattoos-grab-girl-street-article-1.3468231,87532,105,text/html
