URL,SIZE,No of Outlinks,Content-Type
http://www.nydailynews.com/services/media-kit,23592,54,text/html
http://www.nydailynews.com/newswires/sports/hilliman-3-tds-carries-bc-central-michigan-28-8-article-1.3532725,88416,104,text/html
http://www.nydailynews.com/autos/news/porsche-innodrive-adaptive-cruise-control-system-2019-cayenne-article-1.3480251,85161,107,text/html
http://www.nydailynews.com/news/politics/hugely-expensive-georgia-special-election-numbers-article-1.3261148,89130,108,text/html
http://www.nydailynews.com/sports/hockey/islanders,123516,160,text/html
http://www.nydailynews.com/newswires/new-york/citizen-convicted-2009-suicide-attack-afghanistan-article-1.3531226,87149,104,text/html
http://www.nydailynews.com/new-york/weather,22289,48,text/html
http://www.nydailynews.com/autos/news/toyota-steps-hybrids-tesla-cuts-base-model-s-article-1.3528397,91048,117,text/html
http://www.nydailynews.com/services/mobile,9973,33,text/html
http://www.nydailynews.com/news,153197,261,text/html
http://www.nydailynews.com/autos/latest-reviews,92228,233,text/html
http://www.nydailynews.com/news/politics/democrat-jon-ossoff-real-shot-georgia-election-upset-article-1.3067508,93863,109,text/html
http://www.nydailynews.com/autos/types/sports-car,75631,241,text/html
http://www.nydailynews.com/news/crime,119244,155,text/html
http://www.nydailynews.com/sports/soccer/stadium-barrier-collapses-game-france-4-hospitalized-article-1.3532662,89618,105,text/html
http://www.nydailynews.com/newswires/sports/suspended-florida-dl-davis-long-road-wreck-article-1.3532892,85011,104,text/html
http://www.nydailynews.com/news/national/yosemite-climber-died-saving-wife-el-captian-rockfall-article-1.3532264,90141,110,text/html
http://www.nydailynews.com/autos/news/kia-niro-amazon-alexa-skill-app-smartphone-technology-article-1.3449330,84051,113,text/html
http://www.nydailynews.com/life-style/stand-glare-engagement-rings-star-best-friend-gallery-1.45822,68251,20,text/html
http://www.nydailynews.com/sports/baseball/mets/mets-didn-ugly-collins-door-article-1.3532548,99506,119,text/html
http://www.nydailynews.com/newswires/entertainment/maria-television-reporting-raises-echoes-katrina-coverage-article-1.3532630,93793,105,text/html
http://www.nydailynews.com/horoscopes/scorpio,108087,131,text/html
http://www.nydailynews.com/autos/chevrolet,62334,207,text/html
http://www.nydailynews.com/news/politics/democrats-probe-tom-price-private-jet-article-1.3509439,87133,105,text/html
http://www.nydailynews.com/sports/id-click-that,121891,159,text/html
http://www.nydailynews.com/newswires/news/national/latest-americans-advised-stay-cuba-article-1.3530367,95352,105,text/html
http://www.nydailynews.com/newswires/new-york/feds-charge-college-professor-running-fake-trade-school-article-1.3532169,85427,104,text/html
http://www.nydailynews.com/sports/football/sunday-morning-qb-owners-back-players-costs-article-1.3532433,99744,116,text/html
http://www.nydailynews.com/autos/news/2018-volvo-xc40-safety-technology-video-article-1.3474621,84474,111,text/html
http://www.nydailynews.com/life-style/north-korea-1970s-gallery-1.3532590,67593,20,text/html
http://www.nydailynews.com/new-york/bronx,122285,171,text/html
http://www.nydailynews.com/newswires/sports/fans-hurt-amiens-fence-collapses-ligue-1-article-1.3532475,91570,106,text/html
http://www.nydailynews.com/opinion/loss-georgia-special-election-dems-plan-top-gop-article-1.3264248,91069,110,text/html
http://www.nydailynews.com/autos/street-smarts/8-great-traits-2018-volkswagen-atlas-list-article-1.3498265,104502,120,text/html
http://www.nydailynews.com/new-york-daily-news-front-pages-gallery-1.2943303,65978,20,text/html
http://www.nydailynews.com/life-style/reasons-stock-market-surprisingly-strong-article-1.3518634,89089,111,text/html
http://www.nydailynews.com/autos/gallery-2017-daily-news-autos-awards-recommended-models-gallery-1.3098486,26995,20,text/html
http://www.nydailynews.com/new-york/education,129848,216,text/html
http://www.nydailynews.com/life-style/drink-water-amount-article-1.3504556,89589,103,text/html
http://www.nydailynews.com/autos/toyota,60210,207,text/html
https://www.nydailynews.com/nydn/img/static/close-button.png,656,0,image/png
http://www.nydailynews.com/news/politics/handel-beats-ossoff-hotly-contested-georgia-house-election-article-1.3263695,90657,109,text/html
http://www.nydailynews.com/horoscopes/gemini,108010,131,text/html
http://www.nydailynews.com/sports/basketball/knicks,122649,157,text/html
http://www.nydailynews.com/horoscopes,121792,142,text/html
http://www.nydailynews.com/autos/news/opinion-mitsubishi-e-evolution-concept-continues-dangerous-trend-article-1.3508825,90069,112,text/html
http://www.nydailynews.com/newswires/entertainment/rapper-kendrick-lamar-headliners-forbes-summit-article-1.3532181,86193,104,text/html
http://www.nydailynews.com/news/politics/hhs-secretary-chartered-private-jets-times-week-article-1.3507672,88815,105,text/html
http://www.nydailynews.com/services/privacy-policy,116264,106,text/html
